title,year,duration,genre,rating
The Shawshank Redemption ,1994,2h 22min,Drama,The Shawshank Redemption 
Nuovo Cinema Paradiso ,1988,2h 35min,Drama,Nuovo Cinema Paradiso 
Back to the Future ,1985,1h 56min,Adventure,Back to the Future 
Tengoku to jigoku ,1963,2h 23min,Crime,Tengoku to jigoku 
Terminator 2: Judgment Day ,1991,2h 17min,Action,Terminator 2: Judgment Day 
The Lion King ,1994,1h 28min,Animation,The Lion King 
Once Upon a Time in the West ,1968,2h 45min,Western,Once Upon a Time in the West 
Hotaru no haka ,1988,1h 29min,Animation,Hotaru no haka 
Léon ,1994,1h 50min,Action,Léon 
American History X ,1998,1h 59min,Drama,American History X 
Gladiator ,2000,2h 35min,Action,Gladiator 
The Usual Suspects ,1995,1h 46min,Crime,The Usual Suspects 
The Prestige ,2006,2h 10min,Drama,The Prestige 
The Departed ,2006,2h 31min,Crime,The Departed 
The Pianist ,2002,2h 30min,Biography,The Pianist 
The Intouchables ,2011,1h 52min,Biography,The Intouchables 
Shichinin no samurai ,1954,3h 27min,Action,Shichinin no samurai 
Joker ,2019,2h 2min,Crime,Joker 
Anand ,1971,2h 2min,Drama,Anand 
Avengers: Infinity War ,2018,2h 29min,Action,Avengers: Infinity War 
Star Wars ,1977,2h 1min,Action,Star Wars 
The Silence of the Lambs ,1991,1h 58min,Crime,The Silence of the Lambs 
Whiplash ,2014,1h 46min,Drama,Whiplash 
Se7en ,1995,2h 7min,Crime,Se7en 
The Green Mile ,1999,3h 9min,Crime,The Green Mile 
La vita è bella ,1997,1h 56min,Comedy,La vita è bella 
Saving Private Ryan ,1998,2h 49min,Drama,Saving Private Ryan 
Sen to Chihiro no kamikakushi ,2001,2h 5min,Animation,Sen to Chihiro no kamikakushi 
Cidade de Deus ,2002,2h 10min,Crime,Cidade de Deus 
Braveheart ,1995,2h 58min,Biography,Braveheart 
Reservoir Dogs ,1992,1h 39min,Crime,Reservoir Dogs 
Full Metal Jacket ,1987,1h 56min,Drama,Full Metal Jacket 
Interstellar ,2014,2h 49min,Adventure,Interstellar 
Toy Story ,1995,1h 21min,Animation,Toy Story 
Eskiya ,1996,2h 8min,Crime,Eskiya 
Bacheha-Ye aseman ,1997,1h 29min,Drama,Bacheha-Ye aseman 
Good Will Hunting ,1997,2h 6min,Drama,Good Will Hunting 
Requiem for a Dream ,2000,1h 42min,Drama,Requiem for a Dream 
American Beauty ,1999,2h 2min,Drama,American Beauty 
Eternal Sunshine of the Spotless Mind ,2004,1h 48min,Drama,Eternal Sunshine of the Spotless Mind 
Amélie ,2001,2h 2min,Comedy,Amélie 
It's a Wonderful Life ,1946,2h 10min,Drama,It's a Wonderful Life 
Snatch ,2000,1h 44min,Comedy,Snatch 
Inglourious Basterds ,2009,2h 33min,Adventure,Inglourious Basterds 
Unforgiven ,1992,2h 10min,Drama,Unforgiven 
Tonari no Totoro ,1988,1h 26min,Animation,Tonari no Totoro 
Indiana Jones and the Last Crusade ,1989,2h 7min,Action,Indiana Jones and the Last Crusade 
Casino ,1995,2h 58min,Crime,Casino 
L.A. Confidential ,1997,2h 18min,Crime,L.A. Confidential 
Hauru no ugoku shiro ,2004,1h 59min,Animation,Hauru no ugoku shiro 
Der Untergang ,2004,2h 36min,Biography,Der Untergang 
Batman Begins ,2005,2h 20min,Action,Batman Begins 
Hera Pheri ,2000,2h 36min,Action,Hera Pheri 
"Lock, Stock and Two Smoking Barrels ",1998,1h 47min,Action,"Lock, Stock and Two Smoking Barrels "
V for Vendetta ,2005,2h 12min,Action,V for Vendetta 
Rang De Basanti ,2006,2h 47min,Comedy,Rang De Basanti 
A Beautiful Mind ,2001,2h 15min,Biography,A Beautiful Mind 
Million Dollar Baby ,2004,2h 12min,Drama,Million Dollar Baby 
Heat ,1995,2h 50min,Crime,Heat 
No Country for Old Men ,2007,2h 2min,Crime,No Country for Old Men 
Pan's Labyrinth ,2006,1h 58min,Drama,Pan's Labyrinth 
How to Train Your Dragon ,2010,1h 38min,Animation,How to Train Your Dragon 
Salinui chueok ,2003,2h 11min,Action,Salinui chueok 
Mary and Max ,2009,1h 32min,Animation,Mary and Max 
Shutter Island ,2010,2h 18min,Mystery,Shutter Island 
Hachi: A Dog's Tale ,2009,1h 33min,Drama,Hachi: A Dog's Tale 
Into the Wild ,2007,2h 28min,Adventure,Into the Wild 
Hotel Rwanda ,2004,2h 1min,Biography,Hotel Rwanda 
Mad Max: Fury Road ,2015,2h,Action,Mad Max: Fury Road 
Harry Potter and the Deathly Hallows: Part 2 ,2011,2h 10min,Adventure,Harry Potter and the Deathly Hallows: Part 2 
12 Years a Slave ,2013,2h 14min,Biography,12 Years a Slave 
Spotlight ,2015,2h 9min,Biography,Spotlight 
The Help ,2011,2h 26min,Drama,The Help 
The Terminator ,1984,1h 47min,Action,The Terminator 
Aladdin ,1992,1h 30min,Animation,Aladdin 
"Monsters, Inc. ",2001,1h 32min,Animation,"Monsters, Inc. "
The General ,1926,1h 7min,Action,The General 
La passion de Jeanne d'Arc ,1928,1h 50min,Biography,La passion de Jeanne d'Arc 
It Happened One Night ,1934,1h 45min,Comedy,It Happened One Night 
Gone with the Wind ,1939,3h 58min,Drama,Gone with the Wind 
