Title,Year,Duration,Genre,Rating,movie_url
The Shawshank Redemption ,1994,2h 22min,Drama,The Shawshank Redemption ,https://www.imdb.com/title/tt0111161/?ref_=adv_li_tt
Tengoku to jigoku ,1963,2h 23min,Crime,Tengoku to jigoku ,https://www.imdb.com/title/tt0057565/?ref_=adv_li_tt
Hotaru no haka ,1988,1h 29min,Animation,Hotaru no haka ,https://www.imdb.com/title/tt0095327/?ref_=adv_li_tt
Once Upon a Time in the West ,1968,2h 45min,Western,Once Upon a Time in the West ,https://www.imdb.com/title/tt0064116/?ref_=adv_li_tt
Back to the Future ,1985,1h 56min,Adventure,Back to the Future ,https://www.imdb.com/title/tt0088763/?ref_=adv_li_tt
Terminator 2: Judgment Day ,1991,2h 17min,Action,Terminator 2: Judgment Day ,https://www.imdb.com/title/tt0103064/?ref_=adv_li_tt
Nuovo Cinema Paradiso ,1988,2h 35min,Drama,Nuovo Cinema Paradiso ,https://www.imdb.com/title/tt0095765/?ref_=adv_li_tt
Léon ,1994,1h 50min,Action,Léon ,https://www.imdb.com/title/tt0110413/?ref_=adv_li_tt
The Lion King ,1994,1h 28min,Animation,The Lion King ,https://www.imdb.com/title/tt0110357/?ref_=adv_li_tt
The Usual Suspects ,1995,1h 46min,Crime,The Usual Suspects ,https://www.imdb.com/title/tt0114814/?ref_=adv_li_tt
American History X ,1998,1h 59min,Drama,American History X ,https://www.imdb.com/title/tt0120586/?ref_=adv_li_tt
Gladiator ,2000,2h 35min,Action,Gladiator ,https://www.imdb.com/title/tt0172495/?ref_=adv_li_tt
The Pianist ,2002,2h 30min,Biography,The Pianist ,https://www.imdb.com/title/tt0253474/?ref_=adv_li_tt
The Prestige ,2006,2h 10min,Drama,The Prestige ,https://www.imdb.com/title/tt0482571/?ref_=adv_li_tt
The Departed ,2006,2h 31min,Crime,The Departed ,https://www.imdb.com/title/tt0407887/?ref_=adv_li_tt
The Intouchables ,2011,1h 52min,Biography,The Intouchables ,https://www.imdb.com/title/tt1675434/?ref_=adv_li_tt
Whiplash ,2014,1h 46min,Drama,Whiplash ,https://www.imdb.com/title/tt2582802/?ref_=adv_li_tt
Full Metal Jacket ,1987,1h 56min,Drama,Full Metal Jacket ,https://www.imdb.com/title/tt0093058/?ref_=adv_li_tt
Braveheart ,1995,2h 58min,Biography,Braveheart ,https://www.imdb.com/title/tt0112573/?ref_=adv_li_tt
Reservoir Dogs ,1992,1h 39min,Crime,Reservoir Dogs ,https://www.imdb.com/title/tt0105236/?ref_=adv_li_tt
Toy Story ,1995,1h 21min,Animation,Toy Story ,https://www.imdb.com/title/tt0114709/?ref_=adv_li_tt
Eskiya ,1996,2h 8min,Crime,Eskiya ,https://www.imdb.com/title/tt0116231/?ref_=adv_li_tt
Bacheha-Ye aseman ,1997,1h 29min,Drama,Bacheha-Ye aseman ,https://www.imdb.com/title/tt0118849/?ref_=adv_li_tt
Good Will Hunting ,1997,2h 6min,Drama,Good Will Hunting ,https://www.imdb.com/title/tt0119217/?ref_=adv_li_tt
Requiem for a Dream ,2000,1h 42min,Drama,Requiem for a Dream ,https://www.imdb.com/title/tt0180093/?ref_=adv_li_tt
American Beauty ,1999,2h 2min,Drama,American Beauty ,https://www.imdb.com/title/tt0169547/?ref_=adv_li_tt
Eternal Sunshine of the Spotless Mind ,2004,1h 48min,Drama,Eternal Sunshine of the Spotless Mind ,https://www.imdb.com/title/tt0338013/?ref_=adv_li_tt
Snatch ,2000,1h 44min,Comedy,Snatch ,https://www.imdb.com/title/tt0208092/?ref_=adv_li_tt
Inglourious Basterds ,2009,2h 33min,Adventure,Inglourious Basterds ,https://www.imdb.com/title/tt0361748/?ref_=adv_li_tt
Toy Story 3 ,2010,1h 43min,Animation,Toy Story 3 ,https://www.imdb.com/title/tt0435761/?ref_=adv_li_tt
Tonari no Totoro ,1988,1h 26min,Animation,Tonari no Totoro ,https://www.imdb.com/title/tt0096283/?ref_=adv_li_tt
Amélie ,2001,2h 2min,Comedy,Amélie ,https://www.imdb.com/title/tt0211915/?ref_=adv_li_tt
Unforgiven ,1992,2h 10min,Drama,Unforgiven ,https://www.imdb.com/title/tt0105695/?ref_=adv_li_tt
Indiana Jones and the Last Crusade ,1989,2h 7min,Action,Indiana Jones and the Last Crusade ,https://www.imdb.com/title/tt0097576/?ref_=adv_li_tt
Heat ,1995,2h 50min,Crime,Heat ,https://www.imdb.com/title/tt0113277/?ref_=adv_li_tt
